Algoritmo,Tamanho,Iterações,Tempo (ms),Correto
Merge Sort,32,383,0.06,CORRETO
Merge Sort,2048,49152,4.52,CORRETO
Merge Sort,1048576,44040192,318.15,CORRETO
MaxVal1 (Linear),32,32,0.01,CORRETO
MaxVal1 (Linear),2048,2048,0.03,CORRETO
MaxVal1 (Linear),1048576,1048576,10.25,CORRETO
MaxVal2 (D&C),32,31,0.02,CORRETO
MaxVal2 (D&C),2048,2047,0.05,CORRETO
MaxVal2 (D&C),1048576,1048575,6.48,CORRETO
Multiplicação,4 bits,16,0.01,CORRETO
Multiplicação,16 bits,256,0.02,CORRETO
Multiplicação,64 bits,4096,0.15,CORRETO
Multiplicação (Strings),4 bits,16,0.05,CORRETO
Multiplicação (Strings),16 bits,256,0.08,CORRETO
Multiplicação (Strings),64 bits,4096,0.32,CORRETO